confidence,name_sim,raw_sim,cp_id,oss_id,acreage,year_cp,year_oss,cp_name,oss_name,cp_raw,oss_raw
99.18032786885246,100.0,98.4,II_13_4154,6742,400.0,1728,1728,Edward Sims,Edward Sims Of Hanover Co.,"EDWARD SIMS, 400 acs. (N. L.).
Hanover Co; adj, John Hill; William
Pulliam; Mr, Samuel Chamberlayne; &
lines of the Sims’ grant; on S. side the
Little River; 28 Sept. 1728, p. 313.","400a Hanover/ adj John Hill, William Pulliam,  Mr Samuel Chamberlayne"
99.07407407407408,100.0,98.1,II_11_2469,6631,400.0,1723,1723,Susanna Sharpe,Susanna Sharpe,"SUSANNA SHARPE, of Hanover
Co; 400 acs. (N. L.), on N. side of the
Little River & both sides of Hollowing
Creek; adj. George Sims; & Mr.
Sharps’s corner: 5 Sept. 1723, p. 218.
40 Shill.",400a on the N side the Little River & both sides Hollowing Creek
99.0566037735849,100.0,98.1,II_14_5253,7548,400.0,1732,1732,John Harris,John Harris,"JOHN HARRIS, 400 acs. (N. L.),
Hanover Co; adj. Ambrose Joshua
Smith, Capt. Thomas Carr, & Ann
Arnold; om low. side of Gr. Rockey Cr;
11 Apr. 1732, p. 405. 40 Shill.",400a adj Ambrose Joshua Smith Capt Thomas Carr Ann Arnold
99.01960784313727,100.0,98.0,II_14_4971,6755,431.0,1731,1731,Henry Graves,Henry Graves,"HENRY GRAVES, 431 acs. (N. L.).
Hanover Co; adj, Major Leigh,. John
Sanders, Capt. Crawford; John Matlock; & George Pemberton; 26 June
1731, p. 166. 5 Shill,","431a adj Major Leigh, John Sanders, Capt Crawford, John Matlock"
99.01960784313727,100.0,98.0,II_14_5347,6772,254.0,1732,1732,John Tyler,John Tyler Junr,"JOHN TYLER, JUNR., 254 acs. (N.
L.), Hanover Co; adj. Richard Wetherford; John Matlock; Edward Trotman;
John Northceutt; John Stanley; William
Noble; & John Wetherford; 28 Sept.
1732, p. 473. 25 Shill,",254a adj Richard Wetherford John Matlock Edward Trotman
99.0,100.0,98.0,II_14_5237,5399,1400.0,1732,1732,William Chamberlayne,William Chamberlayne,"WILLIAM CHAMBERLAYNE, 1400
acs. (O, & N. L.), Goochland Co; S.
side the Rivanna Riv., or N. Br. of
James Riv; at mouth of Cary’s Cr; adj.
Mr. Cocke; 11 Apr. 1732, p. 393. 400
acs. part granted Ebenezer Adams. 5
Lbs., Money.",1400a Goochland/ S side the Rivanna Riv. or the N Br. of James Riv.
98.9795918367347,100.0,98.0,II_9_503,9430,742.0,1701,1701,John Washington & Arthur Washington,John Washington & Arthur Washington,"JOHN WASHINGTON & ARTHUR
WASHINGTON, 742 acs., on S. side
the maine Black Water, on Seacock
Swamp; adj. Thomas Blunt; 25 Apr.
1701, p. 371. Trans. of 15 pers.* Note:
15 rights paid for to Wm, Byrd, Esar.,
Auditor,",742a S side of the Maine black water on the Seacock Swamp
98.91304347826087,100.0,97.8,II_13_3966,7458,400.0,1727,1727,David Meriwether,David Meriwether,"DAVID MERIWETHER, GENT.,
400 acs. (N. L.), Hanover Co; on both
sides of Fork Creek, adj. Major Meriwether’s line; 13 Oct. 1727, p. 200.
40 Shill.",400a on both sides Fork Creek adj Major Meriwether
98.86363636363637,100.0,97.7,II_14_5245,6764,200.0,1732,1732,William Nobles,William Nobles,"WILLIAM NOBLES, 200 acs. (N.
L.), Hanover Co; adj. John Stanley,
John Matlock, & Richard Wetherford;
11 Apr, 1732, p. 398. 20 Shill.","200a adj John Stanley, John Matlock, Richard Wetherford"
98.83720930232559,100.0,97.7,II_12_2947,6656,400.0,1724,1724,John Stanley,John Stanley,"JOHN STANLEY, 400 acs. (N. L.),
Hanover Co; on both sides the N, fork
of the Newfound River; adj. Cicelia
Anderson; on S, side of the Ridge Road;
22 Feb. 1724, p. 139. 40 Shill.",400a on both sides the N fork of the Newfound River
98.81889763779527,100.0,97.6,II_13_4334,7480,1000.0,1729,1729,John Poindexter,John Poindexter,"JOHN POINDEXTER, 1000 acs.
(N. L.), Hanover Co; adj. Mr. Joseph
Powell, Benjamin Brown, & Mrs.
Barbary Winston; by a glaid of Elk
Creek; 27 Sept. 1729, p. 399. 5 Lbs.,
Money.","1000a in Hanover adj Joseph Powell, Benjamin Brown, Mrs Barbary Winston"
98.80952380952381,100.0,97.6,II_12_3288,7419,400.0,1725,1725,Thomas Harris,Thomas Harris,"THOMAS HARRIS, 400 acs. (N.
L.), Hanover Co; on both sides of
Harris’ fork of Cubb Creek; adj. William Harris; & Dabney’s line; 24 Mar.
1725, p. 359. 40 Shill,",400a on both sides Harris's Fork of Cubb Creek
98.80952380952381,100.0,97.6,II_13_3651,10344,1000.0,1726,1726,Richard Fitzwilliam,Richard Fitzwilliam Esqr.,"RICHARD FITZWILLIAM, ESQR.,
1000 acs. (N. L.), Spotsyl, Co., in Se.
George’s Par; on N. side the Northanna
CAVALIERS AND PIONEERS
(Riv.), above Duglass Run; adj. Col.
John Waller; & Mr, Harry Beverley; 14
Jan, 1726, p. 11.",1000a on the N side the Northanna above Duglass Run
98.75,100.0,97.5,II_9_608,9440,1230.0,1702,1702,Richard Holliman,Richard Holliman,"RICHARD HOLLIMAN, 1230 acs.,
on S. side of the main Black Water; &
on N. side the Little Sw. 25 Apr. 1702,
p. 448. Trans. of 25 pers: Susanna
Rood, Thomas Flinn, Wm. More,
Robert Burne, Eliza. Sillvanne (?),
Simon Rutland, Henry Kelley, Hannah
Caswell, Francis Beedle, Wm. Ivers,
Philip Brock, John Stevens, Thomas
Fortune, Wm. Exum, Jane his wife,
Francis Huson, Francis Bullivant, Abraham Bralah, Richard Hickman, Thomas
Hastow, John Allison, Samuell Brown,
Amy Britt, Anne her child, Thomas
Holliman.",1230a S side the main Black Water & N side the Little Sw.
98.75,100.0,97.5,II_12_3237,5377,5000.0,1725,1725,Dudley Digges,Dudley Digges Of Gloucester County Gent.,"DUDLEY DIGGES, GENT., of
Gloucester Co., 5000 acs. (N. L.),
Henrico Co; in the main fork of James
River; beg. in the poynt of the fork of
sd river which makes the Fluvanna &
Rivanna (Rivers); 26 Oct. 1725, p.
329. 25 Lbs, Money.",5000a Henrico/ in the Main Fork of James River
98.75,100.0,97.5,II_12_3486,6686,400.0,1725,1725,Edward Trotman,Edward Trotman,"EDWARD TROTMAN, 400 acs. (N.
L.), Hanover ‘Co; adj. David Powers,
& David Anderson, on Charles’ Swamp;
24 Mar. 1725, p. 468. 40 Shill.",400a adj David Powers David Anderson & Charles Swamp
98.75,100.0,97.5,II_13_3796,7447,400.0,1727,1727,Thomas Carr,Thomas Carr,"THOMAS CARR, of King Wm. Co;
400 acs, (N. L.), Hanover Co; on S.
side of the North Anna (Riv.), on
upper side of the S. fork thereof; adj.
his own land; 16 June 1727, p. 98.
40 Shill.",400a on the S side the N Anna on the the upper side the S Fork thereof
98.75,100.0,97.5,II_13_3857,9706,250.0,1727,1727,Robert Booth,Robert Booth Of I'le Of Wight County,"ROBERT BOOTH, 250 acs. (N. L.),
Is. of Wight Co; S, side the main
Black Water Swamp; on W. side of the
Lightwood Swamp; 16 June 1727, p.
133. 25 Shill.",250a on the S side of the Main Black water Swamp
98.71794871794872,100.0,97.4,II_9_353,6501,800.0,1700,1700,George Turner,George Turner,"GEORGE TURNER, 800 acs., on S.
side.of York River in the narrows, adj.
Mr: Croshaw; SE by S. to Mackadequin
Cr; to land of John Buttler, &c; 24
Apr. 1700, p. 250. Granted James
Turner, 7 July 1653; renewed, &
granted to sd. George by order, &c.,
19 Oct. 1699 upon the free & voluntary
consent of divers claimers to part of
said land, &c.",800a on the S Side of York River in the narrows
98.71794871794872,100.0,97.4,II_12_3321,11095,100.0,1725,1725,Robert Rogers,Robert Rogers Of Surry County,"ROBERT ROGERS, 100 acs. (N. L.),
Surry Co; on S. side of the Raccoon
Swamp, & on S. side of Nottoway
River; agj. Silvanus Stokes; 24 Mar.
1725, p. 376. 10 Shill.",100a S side Raccoon Swamp on S Side Nottoway River
98.69565217391305,100.0,97.4,II_13_3990,6731,742.0,1727,1727,Charles Chiswell,Charles Chiswell,"CHARLES CHISWELL, Gent., of
the City of Williamsburgh; 742 acs.
(CN. L.), Hanover Co; adj. lines of
Thomas Hart, John Rice, Philip Higginson, Cicilia Anderson, John Stanley,
Capt. David Crawford, the Sims’ grant.
Anthony Waddey, & Walliam Rice; on
S. side the Ridge Road; on E. side a
br. of Locust Cr: & by W. fork of
Licking Hole Cr; 1 Nov. 1727, p. 214.
3 Lbs., 15 Shill.","742a adj Thomas Hart, John Rice, Philip Higginson, Cicilia Anderson John Stanley Capt David Crawford the Sims Grant Anthony Waddy"
98.68421052631578,100.0,97.4,II_12_3239,5378,400.0,1725,1725,Ebenezer Adams,Ebenezer Adams Gent Of New Kent County,"EBENEZER ADAMS, GENT., of
New Kent Co; 400 acs, (N, L.), in the
fork of James River on the Rivanna;
adj. Mr. Cocke; 26 Oct. 1725, p. 330.
40 Shill.",400a in the Fork of James River on the Rivanna
98.68421052631578,100.0,97.4,II_14_5232,34,400.0,1732,1732,Thomas Goolsby,Thomas Goolsby,"SAME. 400 acs. (N. L.); same Co.
& date; page 390. On N. side the S.
fork of James River, alias the Fluvanna
Riv; adj. his own land. 40 Shill.",400a on the N side of James River (the Fluvanna)
98.64864864864865,100.0,97.3,II_9_448,10873,345.0,1701,1701,Richard Washington,Richard Washington,"RICHARD WASHINGTON, 345
acs., on S, side of the main Black Water
Sw; on N. side of Seacock Sw; adj.
Richard Ham; 25 Apr. 1701, p. 326.
Trans. of 7 pers.* Note: 7 rights paid
for to Wm. Byrd, Esqr., Auditor.",345a S side main Black Water Sw. N side Seacock Sw.
98.64864864864865,100.0,97.3,II_11_2470,6645,200.0,1723,1723,Nicholas Meriwether,Nicholas Meriwether,"NICHOLAS MERIWETHER,
GENT., 200 acs. (N. L.), Hanover Co;
adj. his own, & land of George Alves;
on Alvis’ Creek, to land sd. Meriwether
purchased of Johnson; to N. side of the
South Anna (River); 5 Sept. 1723, p.
219, 20 Shill.",200a adj George Alves & Nicholas Meriwether
98.64864864864865,100.0,97.3,II_12_2916,11094,500.0,1724,1724,Richard Blow,Richard Blow Of Surry County,"RICHARD BLOW, 500 acs. (N. L.),
Surry Co; on SE side of the Myery Br.
of the Lightwood Sw; 5 Nov. 1724, p.
115. 35 Shill., & Imp. of 3 pers: Amos
Times, Ann Cocke, Dorothy Gilbert.",500a SE side of the Myery Br. of Lightwood Sw.
98.64864864864865,100.0,97.3,II_14_5041,6760,350.0,1731,1731,Lawrence Ferguson,Lawrence Ferguson,"LAWRENCE FERGUSON, 350 acs.
(N, L.), Hanover Co; adj, Mr, Alves;
Christopher Cawthon; John Crenshaw ;
& Thomas Grant; 25 Aug- 1731, p.
221. 35 Shill.","350a adj Alves, John Crenshaw, Thomas Grant"
98.61111111111111,100.0,97.2,II_12_3287,7418,400.0,1725,1725,William Harris,William Harris,"WILLIAM HARRIS, 400 acs. (N.
L.), Hanover Co; on both sides of Cubb
Creek & Harris’ fork; on Capt, Dabney’s
line; 24 Mar. 1725, p. 358. 40 Shill.",400a both sides Cubb Creek & Harris's Fork
98.61111111111111,100.0,97.2,II_13_4580,7494,400.0,1730,1730,William May,William May,"WILLIAM MAY, 400 acs. (N. L.),
Hanover Co; adj, William Chamberlayne; & William Wetherford; on Wolf
Trap fork of Henson’s Creek; 28 Sept.
1730, p. 502. 40 Shill.",400a adj William Chamberlayne & William Wetherford
98.57142857142857,100.0,97.1,II_12_2711,5374,363.0,1724,1724,Thomas Randolph,Majr. Thomas Randolph Of Henrico County Gent.,"MAJ. THOMAS RANDOLPH,
GENT., 363 acs. (N. L.), Henrico Co;
on N. side of the Flue Anna (Riv.);
adj. land of Mr. Thomas Crooke, dec’d;
9 July 1724, p. 3. 40 Shill,",363a Henrico/ on the N side of the Flue Anna
98.57142857142857,100.0,97.1,II_12_3282,7410,350.0,1725,1725,James Wade,James Wade,"JAMES WADE, 350 acs. (N. L.),
Hanover -Co; on both sides of Hollowing Camp Creek; 24 Mar, 1725, p. 356.
35 Shill.",350a on both sides Hollowing Camp Creek
98.57142857142857,100.0,97.1,II_13_3954,7440,400.0,1727,1727,George Woodroof,George Woodroof,"GEORGE WOODROOF, of King
Wm. Co; 400 acs. (N. L.), Hanover
Co; on both sides of Golden Myne
Creek; 7 Feb. 1727, p. 191. 40 Shill.",400a on both sides of Golden Myne Creek
98.52941176470588,100.0,97.1,II_11_2155,6079,3600.0,1721,1721,John Thornton,John Thornton Of New Kent Co.,"JOHN THORNTON, of New Kent
Co; 3600 acs. (N. L.), Henrico Co;
on N. side of James Riv; 6 Nov. 1721,
p. 64. Beg, at mouth of the Byrd (Cr.)
which runs into sd. river: on his own
line; to the mouth of the Rivanna Riv.
18 Lbs. Money.",3600a Henrico Co. on N side of James Riv.
98.52941176470588,100.0,97.1,II_13_3884,8864,800.0,1727,1727,Robert Pollard,Robert Pollard Junr Of K&qco,"ROBERT POLLARD, JUNR., Gent.,
of K. & Q. Co; 800 acs. (N. L.),
Spotsyl. Co., in St, George’s Par; on
W. side of the little Mountains, on S.
side the Piney Mts., & on S. side the
Rappidan (Riv.): adj, Custice’s corner;
& Mountague’s line; 16 June 1727, p.
151.",800a on W side of the little Mountains
98.50746268656717,100.0,97.0,II_12_3276,6700,257.0,1725,1725,Richard Corley,Richard Corley,"RICHARD CORLEY, 257 acs. (N.
L.), Hanover Co; adj. John Harris,
CAVALIERS AND PIONEERS
Mr. Garland; Elizabeth Reynolds, &
James Brown; on Harris’ branch; 24
Mar. 1725, p. 353. 30 Shill.","257a adj John Harris, Garland, Elizabeth Reynolds, James Brown and Harris's Branch"
98.48484848484848,100.0,97.0,II_12_2955,6655,400.0,1724,1724,David Crawford,David Crawford,"DAVID CRAWFORD, GENT., 400
acs. (N. L.)}, Hanover Co; on both
sides the Newfound River; adj. John
Stanley; & Cicelia Anderson; 22 Feb.
1724, p. 144. 40 Shill.",400a on both sides the Newfound River
98.48484848484848,100.0,97.0,II_12_3555,10367,2650.0,1726,1726,Robert Baylor,Robert Baylor Of King & Queen Co. Gent.,"SAME, 2650 acs. (N. L.); 500 acs.
part on both sides the South River, in
St. Maroaret’s Par., in King Wm. Co;
& 2150 acs. on the County Line, on
both sides the S. fork of the South Riv.,
in St. George’s Par., in Spotsyl. Co; ad}.
William Dunn; & Robert Poweil; on
E. side of Punch Br; on NE side of
the main Ridge Road; same date & page,
13 Lbs., 5 Shill.","2650a, 500a part on both sides the South Riv."
98.48484848484848,100.0,97.0,II_13_3794,6722,400.0,1727,1727,John Sanders,John Sanders,"JOHN SANDERS, 400 acs. (N. L.),
Hanover Co; on both sides the, Newfound River; beg. at Capt. Crawford’s
line; to Ridge between sd. river &
Taylor's Cr; to Ridge bet. sd. river &
ps Cr; 16 June 1727, p. 97. 40
Shill.",400a on both sides the Newfound River
98.4375,100.0,96.9,II_13_4333,5388,800.0,1729,1729,Thomas Randolph,Thomas Randolph Of Goochland County Gent.,"THOMAS RANDOLPH, GENT.,
800 acs. (N. L.), Goochland Co; on
N. side the Rivanna; above Joseph
Baringer’s land, &c; 27 Sept. 1729, p.
398. 4 Lbs., Money.",800a Goochland/ on the N Side the Rivanna
98.4375,100.0,96.9,II_14_5080,5394,200.0,1731,1731,Benjamin Woodson,Benjamin Woodson,"BENJAMIN WOODSON, 200 acs.
(N. L.}, Goochland Co; on S. side the
Rivanna Riv; near Miles Cary’s land; 25
Aug. 1731, p. 261. 20 Shill.",200a Goochland/ on the S side the Rivanna
98.4375,100.0,96.9,II_14_5337,5402,200.0,1732,1732,John Robinson,John Robinson,"JOHN ROBINSON, 200 acs. (N.
L.), Goochland Co; on N. side the
Rivanna Riv; crossing the Great Gr;
28 Sept. 1732, p. 467. 20 Shill.",200a Goochland/ on the N side the Rivanna
98.38709677419355,100.0,96.8,II_13_3799,6727,200.0,1727,1727,Robert Sercey (or Sezcey),Robert Sercey,"ROBERT SERCEY (or Sezcey), 200
acs. (N. L.), Hanover Co; adj. Mr.
Charles Snelson & John White; on S.
side of Snelson’s Branch; & N. fork of
Hollowing Creek; 16 June 1727, p. 100.
20 Shill.",200a adj Charles Snelson & John White
98.33333333333334,100.0,96.7,II_10_1928,6553,400.0,1718,1718,John Stone,John Stone,"JOHN STONE, 400 acs. (N. L.),
Henrico Co; on N, side of James River;
on Capt. Nathaniel West’s line; on E.
Side of Brooke’s Branch; 22 Jan. 1718,
p. 412. 40 Shill. Note: Same as above.",400a Henrico/ N side of James River
98.33333333333334,100.0,96.7,II_11_2468,6629,400.0,1723,1723,Benjamin Brown,Benjamin Brown,"BENJAMIN BROWN, of Hanover
Co; 400 acs. (N. L.), on both sides of
Beaverdam Creek: 5 Sept. 1723, p. 218.
40 Shill.",400a on both sides Beaverdam Creek
98.33333333333334,100.0,96.7,II_14_4982,7509,400.0,1731,1731,Henry Graves,Henry Graves,"HENRY GRAVES, 400 acs. (N. L.),
Hanover Co; adj. John Sanders; Henry
Graves; & Syms’ land; 26 June 1731,
p. 173. 40 Shill, ©",400a adj John Sanders & Henry Graves
98.33333333333334,100.0,96.7,II_14_5033,7536,400.0,1731,1731,Richard Estes,Richard Estes,"RICHARD ESTES, 400 acs. (N. L.),
Hanover Co; adj. Mr. David Thompson
& Capt. Clark; 25 Aug. 1731, p. 214.
4Q Shill.",400a adj David Thompson & Capt Clark
98.21428571428572,100.0,96.4,II_13_4064,10390,380.0,1728,1728,George Woodruff,George Woodruff Of King William Co.,"GEORGE WOODRUFF, of King
Wm. Co; 380 acs. (N. L.), Spotsylvania
Co; on N. side the Northanna (Riv.),
& on E, side of East North East; 17
Apr. 1728, p. 262.",380a on the North Side the Northanna
98.21428571428572,100.0,96.4,II_14_5044,7535,400.0,1731,1731,John Rice,John Rice,"JOHN RICE, 400 acs. (N. L.),
Hanover Co; adj. Thomas Hart & Capt.
Clough; 25 Aug. 1731, p. 223. 40 Shull.",400a adj Thomas Hart Capt Clough
98.21428571428572,100.0,96.4,II_14_5046,7519,400.0,1731,1731,James Watson,James Watson,"JAMES WATSON, 400 acs. (N. L.),
Hanover Co; adj. John Mickie & Capt.
Clough; 25 Aug. 1731, p. 225. 40 Shill.","400a adj John Mickie, Capt Clough"
98.14814814814815,100.0,96.3,II_9_451,9436,417.0,1701,1701,Francis Williamson,Francis Williamson,"FRANCIS WILLIAMSON, 417 acs.,
on S. side of the Seacock Swamp, 25
Apr. 1701, p. 328. Trans. of 9 pers:
John Harris, Elinor Teawe, Owen
Griffin, Edward Palmer, Margaret Cannon, Thomas Parnel, Thomas Williams,
Eliza, Walker, Robert Edmond.",417a on S side of Seacock Swamp
